835,22,0.00024,9.08244,12
1024,23,0.000311,10.0667,15
72,17,2.2e-05,9.15079,13
953,25,0.000266,11.6783,17
91,16,2.8e-05,6.72561,10
652,22,0.000194,9.37182,12
350,22,0.000133,10.4395,14
612,21,0.000182,9.81136,11
232,17,8.4e-05,7.8625,7
177,21,5.1e-05,10.8271,13
511,23,0.000147,9.97655,15
1037,23,0.000329,10.3864,11
197,19,5.5e-05,8.38938,13
697,22,0.000201,9.28096,14
239,19,6.8e-05,7.90571,13
1622,22,0.000517,9.72591,10
315,20,9e-05,8.87339,10
30,21,1.1e-05,10.3269,19
373,22,0.000102,10.5618,18
550,22,0.000159,10.553,16
34,16,1.2e-05,8.22951,14
118,16,3.4e-05,8.47549,10
1449,25,0.000414,10.8645,15
873,22,0.000277,10.0839,14
808,23,0.000236,9.78436,13
1167,25,0.000382,10.5056,15
308,21,0.000153,9.42476,15
41,13,1.4e-05,6.08,7
533,23,0.000205,11.0371,13
346,24,0.000114,11.5,16
929,24,0.000265,10.2885,14
117,16,3.5e-05,8.69951,12
26,18,9e-06,9.02083,16
666,23,0.00019,10.136,13
1734,26,0.000491,10.7851,14
1824,27,0.000547,12.1416,17
231,22,6.4e-05,11.4182,14
1807,26,0.000556,10.7077,14
655,22,0.00019,9.45545,12
2298,25,0.000681,10.2244,13
76,14,2.3e-05,7.45185,8
786,25,0.000216,11.2696,19
609,21,0.000175,9.22804,11
2231,26,0.000661,10.6504,16
1757,24,0.000565,9.85137,14
299,24,0.000109,11.503,20
41,18,1.3e-05,9.95946,14
543,23,0.00017,10.6895,15
438,21,0.000124,10.0621,11
2864,28,0.000902,12.2559,16
221,20,8.7e-05,9.78497,12
2849,27,0.000856,11.0714,15
179,19,5.1e-05,8.82792,11
1075,26,0.000311,11.5799,16
177,18,5e-05,8.58117,12
752,24,0.000213,10.0917,16
182,18,5.3e-05,8.1865,8
1355,24,0.000395,10.0853,12
205,23,5.6e-05,11.0603,17
712,24,0.000233,10.5858,16
1421,27,0.0004,12.0228,19
2186,25,0.000649,9.91612,13
168,21,4.7e-05,10.6818,15
39,22,2.1e-05,12.0147,18
4038,28,0.001204,11.1541,14
90,20,2.6e-05,9.61688,16
2905,27,0.00088,10.8626,17
2301,27,0.000669,11.8772,15
698,25,0.0002,10.8711,19
2190,24,0.000659,9.48527,10
936,24,0.000263,11.8384,16
238,22,6.7e-05,9.92629,16
3038,27,0.000902,10.957,15
1632,26,0.000459,10.8184,18
4306,25,0.001329,10.3003,11
739,26,0.000208,11.9036,20
382,20,0.000106,9.36435,14
2084,26,0.000642,10.7022,16
99,16,2.9e-05,7.52841,10
2764,27,0.000818,11.4317,17
428,19,0.00012,8.66071,11
715,25,0.000197,13.0852,21
68,15,3.6e-05,7.35246,11
34,17,1.2e-05,9.27419,13
121,15,3.3e-05,7.37799,7
993,25,0.00028,10.7449,17
163,17,4.5e-05,8.92553,11
2389,27,0.000741,11.712,17
369,20,0.000104,8.33812,8
356,20,9.8e-05,8.59302,12
1461,27,0.000415,11.1426,21
854,26,0.000239,11.4814,18
730,22,0.000213,9.60016,12
257,22,7.3e-05,11.3218,14
414,22,0.000117,9.85248,12
181,19,5e-05,9.89644,17
336,20,9.5e-05,9.109,8
707,21,0.000229,8.57759,9
1467,24,0.000413,11.0388,14
1319,25,0.000386,10.7828,13
